price per meter,meter,year,rooms,neighborhood
2از5,48,1387,1,ونک
3,130,1403,3,ونک
179900000,100,1401,2,ونک
167200000,125,1401,3,ونک
250000000,117,1404,2,ونک
171428000,70,1390,2,ونک
2,138,1403,3,سردار جنگل
0,185,1404,3,ونک
146153000,65,1390,2,ونک
50000000,60,1404,1,ونک
130681000,88,1389,2,ونک
86923000,65,1391,1,بهار
171428000,133,1403,3,ونک
5از5,255,1395,3,ونک
136054000,147,1398,2,ارج
3,100,1404,2,ونک
148214000,84,1402,2,عدل شمالی
209090000,110,1401,2,ونک
144827000,145,1395,3,عدل شمالی
197500000,200,1404,3,ونک
113114000,61,1376,1,ونک
181862000,102,1402,2,ونک
185000000,60,1398,2,نسترن
164457000,83,1402,2,ونک
123660000,112,1388,2,ونک
160000000,75,1400,2,ونک
159340000,91,1389,2,ونک
32128000,70,1398,2,ونک
110000000,86,1388,2,سردار جنگل
134000000,100,1403,2,ونک
119117000,68,1380,2,ونک
167010000,97,1402,2,ونک
135507000,69,1397,1,ونک
114545000,55,1384,1,ونک
141333000,75,1393,1,شاهین
128034000,117,1403,2,شاهین
2,160,1382,3,ایوانک
176470000,68,1388,2,ونک
159000000,100,1399,2,ونک
132530000,83,1386,2,ونک
167582000,91,1399,2,ونک
129411000,68,1393,2,ونک
118589000,78,1388,2,ونک
89285000,84,1386,2,سردار جنگل
209090000,110,1404,2,ونک
122222000,90,1388,2,ونک
227450000,255,1404,4,ونک
120000000,60,1388,1,ونک
175862000,145,1404,3,سردار جنگل
3از6,200,1404,3,ونک
148461000,130,1401,3,ری
3,110,1404,2,بصارتی
166666000,75,1386,2,ونک
138333000,60,1390,1,سردار جنگل
146268000,67,1403,1,عدل شمالی
5از5,220,1401,3,سردار جنگل
135869000,92,1395,2,بهار
132386000,88,1389,2,حیدری
170731000,123,1400,3,ونک
8از10,105,1404,2,ونک
148000000,50,1386,2,ونک
224603000,126,1404,3,ونک
145000000,126,1397,3,عدل شمالی
193000000,100,1398,2,ونک
103333000,60,1385,1,شاهین
111718000,64,1387,2,ونک
162121000,132,1401,3,ونک
142307000,104,1390,2,ونک
186363000,110,1403,2,ونک
168750000,96,1402,2,ری
116666000,66,1389,1,ونک
165454000,55,1398,1,ونک
105645000,62,1384,2,ونک
285897000,78,1404,2,ایوانک
113861000,101,1385,2,شاهین
2,67,1387,2,ونک
2,71,1387,2,ونک
133333000,90,1396,2,ونک
3,63,1386,1,جنت‌آباد مرکزی
173076000,130,1404,3,ونک
3از5,78,1388,2,ونک
167391000,92,1399,2,ونک
100769000,65,1382,2,ونک
140517000,116,1401,2,ونک
128947000,76,1389,2,ونک
160000000,100,1400,2,ونک
4از5,68,1390,2,بصارتی
155000000,50,1388,1,ونک
2,50,1388,1,ونک
4از5,67,1381,2,بصارتی
158730000,63,1391,1,ری
105072000,69,1386,2,ونک
1,72,1392,2,ونک
116000000,75,1398,2,ونک
204444000,45,1403,1,صفا
1از4,110,1385,2,ارج
2از5,69,1392,1,ونک
4از4,460,1383,+4,ونک
142857000,105,1393,2,ونک
125609000,82,1397,2,ونک
121951000,82,1388,2,ونک
139583000,120,1395,2,ونک
30652000,46,1398,1,ونک
126315000,95,1384,2,ونک
134000,138,1397,3,ونک
119444000,72,1394,2,ونک
2,70,1386,2,ونک
95161000,62,1385,1,ونک
45283000,53,1397,1,ونک
182926000,82,1403,2,ونک
115000000,80,1392,2,ایرانشهر
202985000,67,1402,2,ونک
85970000,67,1384,1,ونک
181818000,110,1399,2,ونک
98536000,69,1389,2,جنت‌آباد شمالی
4,147,1390,3,ونک
123762000,101,1396,2,ونک
